peerURI,serverName,host,machine,"search_group","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group"
localhost,"usstlecpsecap48.emrsn.org","usstlecpsecap48.emrsn.org","usstlecpsecap48.emrsn.org","dmc_group_indexer",,,,,
localhost,"usstlecpsecap48.emrsn.org","usstlecpsecap48.emrsn.org","usstlecpsecap48.emrsn.org","dmc_group_kv_store",,,,,
localhost,"usstlecpsecap48.emrsn.org","usstlecpsecap48.emrsn.org","usstlecpsecap48.emrsn.org","dmc_group_license_master",,,,,
localhost,"usstlecpsecap48.emrsn.org","usstlecpsecap48.emrsn.org","usstlecpsecap48.emrsn.org","dmc_group_search_head",,,,,
