#separator	\x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2014-04-01-17-26-06
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	mac	assigned_ip	lease_time	trans_id
#types	time	string	addr	port	addr	port	string	addr	interval	count
1396373166.165486	CUFcSIGcJoic8CEg3	10.17.142.170	68	10.17.142.161	67	0a:f0:85:85:75:d0	10.17.142.170	3600.000000	3418889038
1396374640.165192	CmNtlw3pq8J81vtRDg	10.17.142.170	68	10.17.142.161	67	0a:f0:85:85:75:d0	10.17.142.170	3600.000000	3418889038
1396376228.230441	CxLr0r2iSBmjKax8sb	10.17.142.170	68	10.17.142.161	67	0a:f0:85:85:75:d0	10.17.142.170	3600.000000	3418889038
1396378005.552055	C8aunU32irY8CNUrhi	10.17.142.170	68	10.17.142.161	67	0a:f0:85:85:75:d0	10.17.142.170	3600.000000	3418889038
1396379360.414516	C7HgGs3MMGP1Bbcsbg	10.17.142.170	68	10.17.142.161	67	0a:f0:85:85:75:d0	10.17.142.170	3600.000000	3418889038
1396381072.641794	CoL1731NPpt4PeJAW5	10.17.142.170	68	10.17.142.161	67	0a:f0:85:85:75:d0	10.17.142.170	3600.000000	3418889038
1408568224.136402	CAOIiZ1Z39eZfprxUf	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408566695.873081	ChjDn14J0YI5hJtNe1	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408565142.594836	CEwuK81x6uStKawn2	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408563503.361276	CNHyei2KA3KCWI9Pl8	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408562097.563487	CyuFNBTbWR5EvZcg5	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408560479.153147	CTe5U7ADQSkrswtj2	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408559066.142759	CoagIp1Tq6L82PN26d	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408557444.572503	CD6F7x1492EhIb1CQ6	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408555916.234287	ChtFFQ9NGztycBAN6	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408554563.427884	CvYaxC2jO2AxOO7fDc	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408552832.021287	CCnnt62xSilKvGrKle	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408551456.512252	C16DPyBOsKru2cDsh	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408549975.583684	C6mDdq1Wi5V8L0JP07	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408548373.150414	Ci1Kmw1lctT3X7x9N6	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408546858.895931	CDTQWvQ04hGE0SQkh	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408545446.738695	Cgq12L1y3ChGkcvEBf	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408543798.990751	Cnrhao2PI4vpuuCCBd	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408542249.036822	CsFOmUBEVAeROI0V3	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408540577.875662	C1YMbxeAgRQo32cF5	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408539059.875403	CGhFoh1Cz0yfCOEenc	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408537265.215108	CZ3GOf4B31ZeOzwEYk	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408535704.882859	COD8lINdU6rMVEdQk	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408534122.926690	CjiE5cmSucSc6rVp7	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
1408532601.806786	CQaJI30erdehQvtc8	10.229.223.211	68	10.229.223.193	67	0e:07:50:8c:9c:9b	10.229.223.211	3600.000000	1635707481
